Vuosi,Kk,Pv,Klo,Aikavyöhyke,Pilvien määrä (1/8),Ilmanpaine (msl) (hPa),Sademäärä (mm),Suhteellinen kosteus (%),Sateen intensiteetti (mm/h),Lumensyvyys (cm),Ilman lämpötila (degC),Kastepistelämpötila (degC),Näkyvyys (m),Tuulen suunta (deg),Puuskanopeus (m/s),Tuulen nopeus (m/s)
2020,8,1,13:20,UTC,,1014.7,,72,,,18.3,13.1,47270,276,6.4,5.2
2020,8,1,13:30,UTC,,1014.5,,70,,,18.3,12.7,47310,270,6.2,5.5
2020,8,1,13:40,UTC,,1014.5,,69,,,18.4,12.7,48170,273,5.8,4.5
2020,8,1,13:50,UTC,,1014.4,,71,,,18.2,12.7,50000,258,5.7,4.8
2020,8,1,14:00,UTC,,1014.3,,69,,,17.9,12.1,46760,250,6,5.2
2020,8,1,14:10,UTC,,1014.2,,70,,,17.7,12.2,50000,252,6.5,5.6
2020,8,1,14:20,UTC,,1014.2,,73,,,17.7,12.8,50000,255,5.8,5
2020,8,1,14:30,UTC,,1014,,76,,,17.8,13.6,50000,249,5.1,4.1
2020,8,1,14:40,UTC,,1014,,75,,,17.7,13.1,48250,248,4.9,3.7
2020,8,1,14:50,UTC,,1014.1,,74,,,17.5,12.9,50000,253,5.3,4.1
2020,8,1,15:00,UTC,,1014.1,,77,,,17.5,13.3,50000,261,4,3.3
2020,8,1,15:10,UTC,,1014.1,,77,,,17.6,13.6,50000,268,4.5,3.4
2020,8,1,15:20,UTC,,1014.1,,78,,,17.8,13.8,50000,271,5.1,4.1
2020,8,1,15:30,UTC,,1014.1,,79,,,17.7,14.1,50000,277,5.6,4.5
2020,8,1,15:40,UTC,,1014,,77,,,17.7,13.6,49110,273,4.8,3.8
2020,8,1,15:50,UTC,,1014.1,,80,,,17.7,14.3,50000,280,4.4,3.8
2020,8,1,16:00,UTC,,1013.9,,80,,,17.7,14.1,50000,291,4.3,3.6
2020,8,1,16:10,UTC,,1013.9,,82,,,17.6,14.5,50000,289,4.1,3.3
2020,8,1,16:20,UTC,,1013.9,,78,,,17.7,13.8,45440,306,4.4,3.4
2020,8,1,16:30,UTC,,1013.8,,75,,,17.6,13.2,44650,318,4.1,3.1
2020,8,1,16:40,UTC,,1013.9,,75,,,17.6,13,50000,336,3.2,2.4
2020,8,1,16:50,UTC,,1013.9,,78,,,17.6,13.8,50000,357,3.4,2.7
2020,8,1,17:00,UTC,,1013.9,,74,,,17.5,12.9,50000,21,5.7,4.3
2020,8,1,17:10,UTC,,1013.9,,73,,,17.5,12.6,50000,33,4.3,2
2020,8,1,17:20,UTC,,1013.9,,78,,,17,13,50000,43,3.1,2
2020,8,1,17:30,UTC,,1013.9,,77,,,16.8,12.8,50000,34,2.8,1.8
2020,8,1,17:40,UTC,,1013.9,,76,,,16.8,12.6,50000,37,2.6,1.6
2020,8,1,17:50,UTC,,1013.8,,77,,,16.9,12.8,47330,27,1.9,1.3
2020,8,1,18:00,UTC,,1013.6,,77,,,16.8,12.8,50000,75,1.3,0.7
2020,8,1,18:10,UTC,,1013.7,,77,,,16.8,12.7,49470,53,0.9,0.5
2020,8,1,18:20,UTC,,1013.7,,80,,,16.9,13.3,50000,320,2.4,0.6
2020,8,1,18:30,UTC,,1013.6,,79,,,16.9,13.2,50000,262,3.9,2.6
2020,8,1,18:40,UTC,,1013.4,,79,,,16.8,13.1,50000,250,3.9,3.2
2020,8,1,18:50,UTC,,1013.3,,80,,,16.9,13.4,33050,240,2.4,1.8
2020,8,1,19:00,UTC,,1013.2,,81,,,16.9,13.7,30860,226,1.9,1.5
2020,8,1,19:10,UTC,,1013,,86,,,16.9,14.4,25330,197,1.9,1.6
2020,8,1,19:20,UTC,,1012.7,,83,,,17,14.1,42020,173,3.3,2.2
2020,8,1,19:30,UTC,,1012.5,,84,,,17,14.3,50000,180,3.7,3.3
2020,8,1,19:40,UTC,,1012.5,,83,,,17.1,14.2,50000,176,3.8,3.2
2020,8,1,19:50,UTC,,1012.5,,84,,,17.1,14.4,50000,166,3.2,2.7
2020,8,1,20:00,UTC,,1012.5,,85,,,17,14.4,50000,152,3.2,2.7
2020,8,1,20:10,UTC,,1012.5,,84,,,17.1,14.3,50000,146,2.8,2
2020,8,1,20:20,UTC,,1012.5,,78,,,17.1,13.2,50000,182,3.4,2.7
2020,8,1,20:30,UTC,,1012.5,,82,,,16.9,13.8,50000,185,3.4,2.6
2020,8,1,20:40,UTC,,1012.5,,83,,,16.9,14,50000,187,4.5,3.4
2020,8,1,20:50,UTC,,1012.5,,87,,,16.5,14.3,39040,142,3.6,2.4
2020,8,1,21:00,UTC,,1012.4,,90,,,16.5,14.8,46670,147,3.3,2.6
2020,8,1,21:10,UTC,,1012.4,,90,,,16.5,14.8,50000,156,3.5,2.5
2020,8,1,21:20,UTC,,1012.4,,92,,,16.3,14.9,50000,159,3.3,2.7
2020,8,1,21:30,UTC,,1012.4,,90,,,16.4,14.7,45290,176,3.4,2.3
2020,8,1,21:40,UTC,,1012.4,,91,,,16.3,14.9,50000,182,3,2.4
2020,8,1,21:50,UTC,,1012.4,,91,,,16.2,14.8,50000,173,2.7,2.3
2020,8,1,22:00,UTC,,1012.3,,91,,,16.2,14.7,50000,166,2.9,2.3
2020,8,1,22:10,UTC,,1012.4,,90,,,16,14.5,47880,164,3.1,2.6
2020,8,1,22:20,UTC,,1012.4,,90,,,15.9,14.3,49190,165,2.9,2.4
2020,8,1,22:30,UTC,,1012.5,,90,,,15.8,14.2,48120,158,3.1,2.4
2020,8,1,22:40,UTC,,1012.5,,91,,,15.8,14.3,43850,162,3.1,2.7
2020,8,1,22:50,UTC,,1012.5,,91,,,15.8,14.3,49220,164,3.3,2.5
2020,8,1,23:00,UTC,,1012.5,,90,,,15.7,14.1,42810,161,3,2.5
2020,8,1,23:10,UTC,,1012.3,,91,,,15.7,14.2,49240,168,3.4,2.9
2020,8,1,23:20,UTC,,1012.4,,91,,,15.5,14,48300,155,3.1,2.5
2020,8,1,23:30,UTC,,1012.4,,91,,,15.6,14.1,48780,158,3,2.4
2020,8,1,23:40,UTC,,1012.3,,90,,,15.6,14,50000,165,3.1,2.7
2020,8,1,23:50,UTC,,1012.2,,90,,,15.4,13.8,49570,156,3.5,2.7
2020,8,2,00:00,UTC,,1012.2,,94,,,15.2,14.1,44650,148,2.9,2
2020,8,2,00:10,UTC,,1012.1,,94,,,14.9,13.8,38290,133,2.8,1.6
2020,8,2,00:20,UTC,,1012,,95,,,14.9,14,36380,143,2.6,2.1
2020,8,2,00:30,UTC,,1012,,95,,,14.8,14,33540,143,3.3,2.5
2020,8,2,00:40,UTC,,1011.9,,96,,,15.1,14.5,36380,161,3.1,2.3
2020,8,2,00:50,UTC,,1011.8,,95,,,15.1,14.3,37340,164,3.2,2.5
2020,8,2,01:00,UTC,,1011.8,,93,,,15.2,14.1,40990,177,2.8,2.3
2020,8,2,01:10,UTC,,1011.8,,92,,,15.3,14.1,46510,180,3.4,2.7
2020,8,2,01:20,UTC,,1011.7,,92,,,15.2,13.8,47910,178,3.3,2.8
2020,8,2,01:30,UTC,,1011.6,,93,,,15.1,14,43310,182,3,2.5
2020,8,2,01:40,UTC,,1011.6,,94,,,15.1,14.1,44260,183,3.2,2.8
2020,8,2,01:50,UTC,,1011.6,,94,,,14.9,14,41660,182,3.3,2.9
2020,8,2,02:00,UTC,,1011.6,,94,,,14.9,13.9,39530,173,3.1,2.4
2020,8,2,02:10,UTC,,1011.5,,94,,,14.9,14,40030,170,2.8,2.3
2020,8,2,02:20,UTC,,1011.5,,94,,,14.9,13.9,31750,172,2.7,2.3
2020,8,2,02:30,UTC,,1011.4,,95,,,14.8,14,34610,168,2.7,2.3
2020,8,2,02:40,UTC,,1011.3,,95,,,14.8,14,36830,162,3.1,2.5
2020,8,2,02:50,UTC,,1011.2,,94,,,14.8,13.9,38380,162,2.7,2.2
2020,8,2,03:00,UTC,,1011.2,,94,,,14.7,13.7,43430,148,2.3,1.8
2020,8,2,03:10,UTC,,1011.2,,94,,,14.7,13.7,38520,143,2.2,1.8
2020,8,2,03:20,UTC,,1011.1,,94,,,14.7,13.8,34790,151,2.4,1.9
2020,8,2,03:30,UTC,,1011.1,,94,,,14.8,13.8,36020,159,2.3,1.9
2020,8,2,03:40,UTC,,1011.1,,94,,,14.7,13.7,31510,146,2.1,1.6
2020,8,2,03:50,UTC,,1011.1,,94,,,14.7,13.7,27410,139,2.2,1.6
2020,8,2,04:00,UTC,,1011.1,,93,,,14.7,13.6,30820,143,2.6,2
2020,8,2,04:10,UTC,,1011.1,,94,,,14.6,13.5,31810,142,2.4,1.9
2020,8,2,04:20,UTC,,1011,,94,,,14.7,13.7,37380,146,3.2,2.3
2020,8,2,04:30,UTC,,1011,,92,,,14.9,13.7,34820,142,3,2.2
2020,8,2,04:40,UTC,,1010.9,,91,,,15.1,13.7,32040,143,2.6,2
2020,8,2,04:50,UTC,,1010.8,,91,,,15.1,13.7,31540,146,2.6,2
2020,8,2,05:00,UTC,,1010.8,,90,,,15.3,13.7,44450,152,3.1,2.4
2020,8,2,05:10,UTC,,1010.8,,89,,,15.3,13.6,35600,143,3,2.3
2020,8,2,05:20,UTC,,1010.7,,88,,,15.4,13.4,38360,149,2.9,2.2
2020,8,2,05:30,UTC,,1010.7,,88,,,15.8,13.8,33580,146,2.6,2.1
2020,8,2,05:40,UTC,,1010.7,,86,,,15.8,13.5,43580,152,2.7,2.2
2020,8,2,05:50,UTC,,1010.7,,85,,,15.9,13.5,44390,154,2.9,1.9
2020,8,2,06:00,UTC,,1010.6,,86,,,15.8,13.5,39170,160,2.4,1.8
2020,8,2,06:10,UTC,,1010.5,,87,,,15.9,13.7,40690,160,2.7,1.7
2020,8,2,06:20,UTC,,1010.5,,87,,,16,13.8,49950,161,2.5,1.7
2020,8,2,06:30,UTC,,1010.5,,83,,,16.4,13.5,36790,159,2.2,1.3
2020,8,2,06:40,UTC,,1010.5,,84,,,16.4,13.7,44140,195,1.3,0.6
2020,8,2,06:50,UTC,,1010.4,,83,,,16.9,13.9,46850,236,0.9,0.5
2020,8,2,07:00,UTC,,1010.3,,81,,,16.5,13.1,31790,302,0.9,0.5
2020,8,2,07:10,UTC,,1010.3,,81,,,16.3,13,41890,324,0.8,0.5
2020,8,2,07:20,UTC,,1010.2,,82,,,16.1,13,41760,338,1.2,0.9
2020,8,2,07:30,UTC,,1010.2,,78,,,16.9,13.1,50000,298,0.9,0.5
2020,8,2,07:40,UTC,,1010.1,,79,,,16.4,12.8,43010,347,1,0.7
2020,8,2,07:50,UTC,,1010,,78,,,16.3,12.5,48220,350,1.1,0.6
2020,8,2,08:00,UTC,,1010,,80,,,16.3,12.9,42430,339,1.8,1.1
2020,8,2,08:10,UTC,,1010.1,,82,,,16.2,13.1,30560,326,2.4,1.5
2020,8,2,08:20,UTC,,1010.1,,82,,,16.1,13.1,30230,337,3.2,2.5
2020,8,2,08:30,UTC,,1010,,82,,,16.1,13.1,47250,349,2.9,2.1
2020,8,2,08:40,UTC,,1009.9,,81,,,16.4,13.1,47460,342,2.4,1.9
2020,8,2,08:50,UTC,,1009.8,,82,,,16.4,13.3,44310,329,2.5,2
2020,8,2,09:00,UTC,,1009.8,,81,,,16.4,13.1,41120,336,2.7,2.2
2020,8,2,09:10,UTC,,1009.7,,83,,,16.5,13.6,38650,330,3.2,2.6
2020,8,2,09:20,UTC,,1009.6,,82,,,16.6,13.5,42930,325,3.2,2.6
2020,8,2,09:30,UTC,,1009.6,,83,,,16.6,13.7,39170,333,3.1,2.5
2020,8,2,09:40,UTC,,1009.5,,83,,,16.7,13.7,40780,321,2.7,2.2
2020,8,2,09:50,UTC,,1009.3,,83,,,16.6,13.8,40210,326,4.3,3.1
2020,8,2,10:00,UTC,,1009.3,,84,,,16.7,14.1,42930,340,4.6,3.8
2020,8,2,10:10,UTC,,1009.4,,84,,,16.9,14.2,38860,339,4.4,3.6
2020,8,2,10:20,UTC,,1009.4,,77,,,17.3,13.2,42090,348,4.1,3.4
2020,8,2,10:30,UTC,,1009.4,,69,,,17.4,11.6,42850,19,6.9,3.3
2020,8,2,10:40,UTC,,1009.4,,71,,,17.1,11.7,50000,60,6,3.9
2020,8,2,10:50,UTC,,1009.4,,70,,,17.9,12.4,40030,86,4.6,3.2
2020,8,2,11:00,UTC,,1009.4,,63,,,18.5,11.5,41870,94,5.1,3
2020,8,2,11:10,UTC,,1009.3,,73,,,17.8,12.9,30200,127,5.9,3.3
2020,8,2,11:20,UTC,,1009.2,,71,,,18,12.7,37050,114,4.7,2.8
2020,8,2,11:30,UTC,,1009.1,,69,,,18,12.2,44710,83,5.1,3.5
2020,8,2,11:40,UTC,,1009.1,,70,,,18.3,12.7,38900,100,5.7,3.3
2020,8,2,11:50,UTC,,1009,,68,,,18.1,12.1,45520,90,5.7,3.5
2020,8,2,12:00,UTC,,1009,,69,,,18.5,12.6,45690,93,5.9,3.7
2020,8,2,12:10,UTC,,1009,,68,,,18,12,37090,106,6.9,3.7
2020,8,2,12:20,UTC,,1009,,72,,,17.7,12.6,39440,120,6.5,4.8
2020,8,2,12:30,UTC,,1009,,69,,,17.6,11.9,39580,125,6.1,4.5
2020,8,2,12:40,UTC,,1008.9,,69,,,17.7,11.9,45630,118,5.2,3.8
2020,8,2,12:50,UTC,,1008.8,,66,,,18.1,11.5,43340,134,6.3,4.7
2020,8,2,13:00,UTC,,1008.7,,70,,,18.1,12.5,42950,146,5.6,4
2020,8,2,13:10,UTC,,1008.7,,71,,,18.2,12.8,41470,157,6.1,4.5
2020,8,2,13:20,UTC,,1008.7,,69,,,18.1,12.3,39280,152,6.3,4.4
2020,8,2,13:30,UTC,,1008.7,,71,,,18.5,13.1,49440,171,5.3,4.2
2020,8,2,13:40,UTC,,1008.6,,68,,,18.5,12.5,45690,166,5.7,4.5
2020,8,2,13:50,UTC,,1008.6,,65,,,18.7,12,50000,163,4.9,3.8
2020,8,2,14:00,UTC,,1008.5,,60,,,18.9,11,16360,162,4.3,2.7
2020,8,2,14:10,UTC,,1008.4,,64,,,18.5,11.6,43550,170,3.9,2.4
2020,8,2,14:20,UTC,,1008.4,,67,,,18.1,11.8,45620,192,4,2.7
2020,8,2,14:30,UTC,,1008.4,,65,,,18.5,11.8,46570,193,4.2,2.9
2020,8,2,14:40,UTC,,1008.3,,59,,,19,10.8,37020,131,3.7,2.1
2020,8,2,14:50,UTC,,1008.1,,61,,,19.3,11.5,34360,138,1.8,0.8
2020,8,2,15:00,UTC,,1008.1,,60,,,19.8,11.7,44290,187,2.3,1.1
2020,8,2,15:10,UTC,,1008,,63,,,18.6,11.5,47750,250,3.7,2.3
2020,8,2,15:20,UTC,,1008,,61,,,18.6,10.9,47050,248,2.8,2.2
2020,8,2,15:30,UTC,,1008,,62,,,18.4,10.9,48720,271,2.5,2
2020,8,2,15:40,UTC,,1008,,63,,,18,10.7,47410,315,2,1.6
2020,8,2,15:50,UTC,,1007.8,,63,,,18,10.8,50000,12,4.8,2
2020,8,2,16:00,UTC,,1007.8,,62,,,18.3,10.8,46320,71,5.3,3.5
2020,8,2,16:10,UTC,,1007.7,,61,,,18.4,10.6,49150,73,4.5,3
2020,8,2,16:20,UTC,,1007.7,,61,,,18.3,10.7,48650,72,4.5,2.8
2020,8,2,16:30,UTC,,1007.6,,59,,,18.2,10.1,33070,69,3.5,2.3
2020,8,2,16:40,UTC,,1007.6,,57,,,18,9.4,47690,45,2.7,1.7
2020,8,2,16:50,UTC,,1007.6,,65,,,17.8,11.1,50000,46,2.8,2.3
2020,8,2,17:00,UTC,,1007.6,,66,,,17.8,11.3,50000,55,3.4,2.4
2020,8,2,17:10,UTC,,1007.6,,64,,,18.1,11.1,45200,62,3.1,2.2
2020,8,2,17:20,UTC,,1007.5,,65,,,17.9,11.3,46730,58,3,2.2
2020,8,2,17:30,UTC,,1007.4,,66,,,17.8,11.4,50000,53,3,2.3
2020,8,2,17:40,UTC,,1007.4,,67,,,17.7,11.6,50000,54,3,2.1
2020,8,2,17:50,UTC,,1007.3,,67,,,17.8,11.7,50000,49,3.4,2.1
2020,8,2,18:00,UTC,,1007.3,,67,,,17.3,11.2,46790,51,3.6,2.8
2020,8,2,18:10,UTC,,1007.3,,67,,,17.2,11,50000,53,3.7,2.9
2020,8,2,18:20,UTC,,1007.2,,68,,,17,11,46980,57,3.1,2.3
2020,8,2,18:30,UTC,,1007.2,,69,,,17.1,11.3,50000,60,3.1,2.3
2020,8,2,18:40,UTC,,1007.1,,70,,,17,11.4,50000,67,2.9,1.9
2020,8,2,18:50,UTC,,1007.2,,71,,,16.8,11.6,47560,67,3.1,1.9
2020,8,2,19:00,UTC,,1007.1,,73,,,16.6,11.7,50000,76,3.7,2.7
2020,8,2,19:10,UTC,,1007.1,,73,,,16.6,11.8,50000,78,4,3.1
2020,8,2,19:20,UTC,,1007.1,,76,,,16.2,12,50000,66,3.5,2.6
2020,8,2,19:30,UTC,,1007.1,,77,,,16,12.1,50000,66,3.8,2.6
2020,8,2,19:40,UTC,,1007.1,,79,,,15.8,12.1,50000,60,3.6,2.7
2020,8,2,19:50,UTC,,1007.2,,81,,,15.5,12.2,50000,54,3.6,3
2020,8,2,20:00,UTC,,1007.2,,83,,,15.2,12.3,50000,53,3.5,3
2020,8,2,20:10,UTC,,1007.1,,83,,,15.2,12.3,50000,55,3.6,3.2
2020,8,2,20:20,UTC,,1007,,86,,,14.7,12.5,50000,51,3.9,3.4
2020,8,2,20:30,UTC,,1007,,88,,,14.3,12.3,50000,48,4.3,3.7
2020,8,2,20:40,UTC,,1006.9,,88,,,14.3,12.4,50000,56,4.4,3.5
2020,8,2,20:50,UTC,,1006.9,,88,,,14.2,12.2,50000,65,3.8,2.8
2020,8,2,21:00,UTC,,1006.9,,87,,,14.2,12.1,50000,69,4.4,2.9
2020,8,2,21:10,UTC,,1006.9,,87,,,14.4,12.1,50000,70,4.3,3.7
2020,8,2,21:20,UTC,,1006.9,,87,,,14.3,12.1,50000,70,4.3,3.1
2020,8,2,21:30,UTC,,1006.9,,88,,,14.1,12.2,50000,75,3.5,2.6
2020,8,2,21:40,UTC,,1006.8,,87,,,14.2,12.2,50000,74,4,3.2
2020,8,2,21:50,UTC,,1006.7,,88,,,14.2,12.1,50000,76,3.8,3
2020,8,2,22:00,UTC,,1006.7,,88,,,14.2,12.2,50000,80,3.9,3.3
2020,8,2,22:10,UTC,,1006.7,,89,,,14,12.3,46340,86,3.9,2.9
2020,8,2,22:20,UTC,,1006.6,,91,,,13.7,12.3,43170,91,3.1,2.3
2020,8,2,22:30,UTC,,1006.6,,91,,,13.8,12.3,41610,89,2.5,2
2020,8,2,22:40,UTC,,1006.6,,91,,,13.6,12.1,40800,86,2.5,1.9
2020,8,2,22:50,UTC,,1006.6,,91,,,13.6,12.1,37330,87,2.8,2.3
2020,8,2,23:00,UTC,,1006.6,,90,,,13.6,12,42310,81,3.5,2.7
2020,8,2,23:10,UTC,,1006.6,,91,,,13.4,11.9,49020,77,3.4,2.9
2020,8,2,23:20,UTC,,1006.5,,91,,,13.3,12,44300,75,3.6,2.9
2020,8,2,23:30,UTC,,1006.5,,92,,,13.3,12,48770,82,3.5,2.8
2020,8,2,23:40,UTC,,1006.6,,92,,,13.2,11.9,40580,84,3.2,2.7
2020,8,2,23:50,UTC,,1006.5,,91,,,13.2,11.8,39720,83,3.7,2.7
2020,8,3,00:00,UTC,,1006.5,,91,,,13.1,11.7,36280,88,4.1,3.1
2020,8,3,00:10,UTC,,1006.4,,89,,,13.3,11.6,39460,91,4.5,3
2020,8,3,00:20,UTC,,1006.4,,90,,,13.2,11.7,41420,104,4.1,2.6
2020,8,3,00:30,UTC,,1006.3,,90,,,13,11.5,39500,97,3.6,2.9
2020,8,3,00:40,UTC,,1006.3,,92,,,12.9,11.6,32900,96,3.5,2.4
2020,8,3,00:50,UTC,,1006.3,,91,,,12.9,11.4,35960,97,3.7,2.6
2020,8,3,01:00,UTC,,1006.2,,92,,,12.9,11.6,31460,103,3.2,2.5
2020,8,3,01:10,UTC,,1006.3,,91,,,12.7,11.2,44310,108,4,3.1
